SMILES_org,SMILES_fixed
CC1=CC[C@H]2C[C@@H]1C2(C)C,CC1=CC[C@H]2C[C@@H]1C2(C)C
CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O,CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(O)=O,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O
Cl/C=C/Cl,Cl/C=C/Cl
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl
FC1=CC=C(Br)C=C1,Fc1ccc(Br)cc1
CCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCO
OCCN1CCNCC1,OCCN1CCNCC1
CN(C)N,CN(C)N
[Cl-].C[N+]1(C)CCCCC1,C[N+]1(C)CCCCC1
ClCC(Cl)CCl,ClCC(Cl)CCl
NCC1=CC(CN)=CC=C1,NCc1cccc(CN)c1
OC(CCl)CCl,OC(CCl)CCl
CC(C)C1=CC(=CC=C1)C(C)C,CC(C)c1cccc(C(C)C)c1
OCNC(=O)NCO,O=C(NCO)NCO
CCCCC(CC)COCCO,CCCCC(CC)COCCO
O=CC(CC1=CC=C(C(C)(C)C)C=C1)C,CC(C=O)Cc1ccc(C(C)(C)C)cc1
OCC(CO)(CO)[N+]([O-])=O,O=[N+]([O-])C(CO)(CO)CO
S1C=2C(N=C1SC(SC#N)([H])[H])=C(C(=C(C2[H])[H])[H])[H],N#CSCSc1nc2ccccc2s1
CC(C)(CS(O)(=O)=O)NC(=O)C=C,C=CC(=O)NC(C)(C)CS(=O)(=O)O
COC1=CC=CC=C1N,COc1ccccc1N
ClCC(=O)NC1=CC=CC=C1,O=C(CCl)Nc1ccccc1
CCOCCO,CCOCCO
CCCCC(CC)C=O,CCCCC(C=O)CC
CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1
OC(=O)CF,O=C(O)CF
CCCCCCCCC(CO)CCCCCC,CCCCCCCCC(CO)CCCCCC
CC(C)(O)C#N,CC(C)(O)C#N
CC(C)C1=C(O)C=CC=C1,CC(C)c1ccccc1O
COC1=CC(=CC=C1N)[N+]([O-])=O,COc1cc([N+](=O)[O-])ccc1N
O=C1OC(=O)C2C3CC(C=C3)C12,O=C1OC(=O)C2C3C=CC(C3)C12
CC(C)(C)C1=C(O)C=CC=C1,CC(C)(C)c1ccccc1O
CC(C)(CO)CO,CC(C)(CO)CO
O1C=CC2=C1C=CC=C2,c1ccc2occc2c1
CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,CCCCOC(=O)COc1ccc(Cl)cc1Cl
CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1
CC1=CC=C(C)C(=C1)S(O)(=O)=O,Cc1ccc(C)c(S(=O)(=O)O)c1
CC1=CC(O)=C(C)C=C1,Cc1ccc(C)c(O)c1
CC(C)CCCC(C)(C)O,CC(C)CCCC(C)(C)O
CC1=CC=CC(C)=C1N,Cc1cccc(C)c1N
CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
OCC(O)CCl,OCC(O)CCl
CC1=C(Cl)C=C(N)C=C1,Cc1ccc(N)cc1Cl
CC1=CC(N)=CC=C1,Cc1cccc(N)c1
CC1=CC=CN=C1,Cc1cccnc1
OCC=CC1=CC=CC=C1,OCC=Cc1ccccc1
CC(CCOC(C)=O)CC(C)(C)C,CC(=O)OCCC(C)CC(C)(C)C
BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2
CCCCOC1=CC=C(N)C=C1,CCCCOc1ccc(N)cc1
NC1=CC=C(Cl)C=C1,Nc1ccc(Cl)cc1
OC1CCC(CC1)C2CCCCC2,OC1CCC(C2CCCCC2)CC1
CCC(=C(C1=CC=C(O)C=C1)C2=CC=C(OCCN(C)C)C=C2)C3=CC=CC=C3,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
COC1=CC=C(O)C=C1,COc1ccc(O)cc1
CN1CCOCC1,CN1CCOCC1
NCCCN1CCOCC1,NCCCN1CCOCC1
CCCC1=CC=C(N)C=C1,CCCc1ccc(N)cc1
C1=CC(=CC=N1)C2=CC=NC=C2,c1cc(-c2ccncc2)ccn1
